"","binary","apply(traces, 1, rank)"
"1271","/usr/bin/jack_netsource",1000
"1273","/usr/bin/jack_netsource",1000
"1566","/usr/bin/ncap",1000
"1686","/usr/bin/ratop",1000
"2116","/usr/bin/rat",1000
"2259","/usr/bin/pdfiotest",1000
"2272","/usr/bin/icmake",1000
"2273","/usr/bin/icmake",1000
"2276","/usr/bin/icmake",1000
"2277","/usr/bin/icmake",1000
"2463","/usr/bin/pktsetup",1000
"2466","/usr/bin/pktsetup",1000
"2896","/usr/bin/hime-setup",1000
"3035","/usr/bin/amulecmd",1000
"3187","/usr/bin/hmakeindex",1000
"3192","/usr/bin/hmakeindex",1000
"3193","/usr/bin/hmakeindex",1000
"3197","/usr/bin/hmakeindex",1000
"3198","/usr/bin/hmakeindex",1000
"3261","/usr/bin/evilvte",1000
"3501","/usr/bin/gtags",1000
"3555","/usr/games/overgod",1000
"4135","/usr/bin/dispcal",1000
"4362","/usr/bin/mincconcat",1000
"4480","/usr/bin/gtk-theme-switch2",1000
"4684","/usr/sbin/argus_linux",1000
"1012","/usr/bin/ymplayer",360
"1014","/usr/bin/ymplayer",360
"1016","/usr/bin/ymplayer",360
"1020","/usr/bin/ymplayer",360
"1021","/usr/bin/ymplayer",360
"1025","/usr/bin/ymplayer",360
"1027","/usr/bin/ymplayer",360
"3776","/usr/bin/gosmore",360
"3804","/usr/bin/pforth",360
"3807","/usr/bin/pforth",360
"4191","/usr/sbin/esekeyd",360
"4662","/usr/bin/macro1",360
"185","/usr/lib/openafs/ptserver",350
"186","/usr/lib/openafs/ptserver",350
"188","/usr/lib/openafs/ptserver",350
"294","/usr/bin/mathmlsvg",260
"296","/usr/bin/mathmlsvg",260
"805","/usr/games/jumpnbump",260
"806","/usr/games/jumpnbump",260
"955","/usr/bin/csdp-theta",260
"1006","/usr/bin/ymplayer",260
"1008","/usr/bin/ymplayer",260
"1118","/usr/bin/fst-compare",260
"1147","/usr/sbin/dump-utmp",260
"1152","/usr/sbin/dump-utmp",260
"1153","/usr/sbin/dump-utmp",260
"1529","/usr/bin/fst-infl",260
"1530","/usr/bin/fst-infl",260
"1540","/usr/bin/xa",260
"1688","/usr/bin/fst-compact",260
"1689","/usr/bin/fst-compact",260
"1805","/usr/bin/redis-check-dump",260
"1812","/usr/bin/redis-check-dump",260
"1813","/usr/bin/redis-check-dump",260
"1869","/usr/bin/rahash2",260
"1871","/usr/bin/rahash2",260
"1873","/usr/bin/fst-lattice",260
"2338","/usr/bin/fastx_quality_stats",260
"2415","/usr/bin/formed",260
"2418","/usr/bin/formed",260
"2544","/usr/bin/gpstrip",260
"2625","/usr/bin/maq",260
"2628","/usr/bin/maq",260
"2892","/usr/bin/ucspi-proxy-http-xlate",260
"2895","/usr/bin/ucspi-proxy-http-xlate",260
"3315","/usr/bin/gpvo",260
"3317","/usr/bin/gpvo",260
"3321","/usr/bin/gpvo",260
"3322","/usr/bin/gpvo",260
"3402","/usr/bin/milkyplay",260
"3606","/usr/bin/bochs-bin",260
"3611","/usr/bin/bochs-bin",260
"3625","/usr/bin/rifiuti",260
"3652","/usr/bin/fastx_clipper",260
"3656","/usr/bin/fastx_clipper",260
"3676","/usr/bin/bwa",260
"3679","/usr/bin/bwa",260
"3680","/usr/bin/bwa",260
"3750","/usr/bin/isqlw-vt",260
"3751","/usr/bin/isqlw-vt",260
"3752","/usr/bin/isqlw-vt",260
"3753","/usr/bin/isqlw-vt",260
"3773","/usr/bin/gosmore",260
"3782","/usr/bin/gosmore",260
"4048","/usr/bin/maxcut",260
"4053","/usr/bin/maxcut",260
"4061","/usr/bin/maxcut",260
"4444","/usr/bin/splitkeys",260
"4448","/usr/bin/splitkeys",260
"4720","/usr/bin/fst-generate",260
"4721","/usr/bin/fst-generate",260
"4764","/usr/bin/g3tolj",260
"4911","/usr/bin/bcftools",260
"2690","/usr/bin/gcov-4.6",250
"3597","/usr/sbin/diodload",250
"4508","/usr/lib/tinymux/game/bin/netmux",250
"4692","/usr/bin/quakestat",250
"4693","/usr/bin/quakestat",250
"4695","/usr/bin/quakestat",250
"4699","/usr/bin/quakestat",250
"4703","/usr/bin/quakestat",250
"1015","/usr/bin/ymplayer",210
"1017","/usr/bin/ymplayer",210
"1018","/usr/bin/ymplayer",210
"1019","/usr/bin/ymplayer",210
"1022","/usr/bin/ymplayer",210
"1026","/usr/bin/ymplayer",210
"2934","/usr/lib/auto-apt/auto-apt-pkgcdb",210
"2938","/usr/lib/auto-apt/auto-apt-pkgcdb",210
"3775","/usr/bin/gosmore",210
"3778","/usr/bin/gosmore",210
"3779","/usr/bin/gosmore",210
"3780","/usr/bin/gosmore",210
"3781","/usr/bin/gosmore",210
"3783","/usr/bin/gosmore",210
"3801","/usr/bin/pforth",210
"3802","/usr/bin/pforth",210
"3803","/usr/bin/pforth",210
"3805","/usr/bin/pforth",210
"3809","/usr/bin/pforth",210
"4058","/usr/bin/maxcut",210
"310","/usr/bin/hocr",200
"314","/usr/bin/hocr",200
"319","/usr/bin/hocr",200
"321","/usr/bin/hocr",200
"1217","/usr/bin/spim",200
"2643","/usr/bin/fteqcc",200
"2644","/usr/bin/fteqcc",200
"2646","/usr/bin/fteqcc",200
"2647","/usr/bin/fteqcc",200
"3397","/usr/bin/aribas",200
"3398","/usr/bin/aribas",200
"3774","/usr/bin/gosmore",200
"3777","/usr/bin/gosmore",200
"3796","/usr/bin/pforth",200
"3797","/usr/bin/pforth",200
"3798","/usr/bin/pforth",200
"3800","/usr/bin/pforth",200
"3806","/usr/bin/pforth",200
"3808","/usr/bin/pforth",200
"4019","/usr/bin/mkudffs",200
"4056","/usr/bin/maxcut",200
"4060","/usr/bin/maxcut",200
"4062","/usr/bin/maxcut",200
"4643","/usr/bin/bam",200
"4644","/usr/bin/bam",200
"4645","/usr/bin/bam",200
"4646","/usr/bin/bam",200
"4771","/usr/bin/FastaUnique",200
"5","/usr/bin/instant",160
"8","/usr/bin/fdtdump",160
"9","/usr/bin/fdtdump",160
"12","/usr/bin/fdtdump",160
"13","/usr/bin/fdtdump",160
"14","/usr/bin/fdtdump",160
"15","/usr/bin/fdtdump",160
"37","/usr/bin/bincat",160
"47","/usr/bin/pbyacc",160
"51","/usr/bin/pbyacc",160
"53","/usr/sbin/bbstoreaccounts",160
"54","/usr/sbin/bbstoreaccounts",160
"60","/usr/sbin/bbstoreaccounts",160
"62","/usr/sbin/bbstoreaccounts",160
"63","/usr/sbin/bbstoreaccounts",160
"67","/usr/sbin/webspy",160
"71","/usr/sbin/webspy",160
"81","/usr/lib/voxbo/bin/vbmunge",160
"89","/usr/bin/ionadmin",160
"90","/usr/bin/ionadmin",160
"91","/usr/bin/ionadmin",160
"92","/usr/bin/ionadmin",160
"93","/usr/bin/ionadmin",160
"98","/usr/bin/sdif2ad",160
"99","/usr/bin/sdif2ad",160
"100","/usr/bin/sdif2ad",160
"107","/usr/games/teachgammon",160
"114","/usr/bin/setupnash",160
"120","/usr/bin/pfb2t1c",160
"121","/usr/bin/pfb2t1c",160
"133","/usr/bin/bppalnscore",160
"148","/usr/bin/qshutdown",160
"175","/usr/bin/gpiv_scale",160
"177","/usr/bin/gpiv_scale",160
"233","/usr/bin/grib_convert",160
"252","/usr/lib/viewmol/Linux/readgamess",160
"256","/usr/lib/cdd-test/testlp1",160
"263","/usr/lib/gprolog-iso/bin/wam2ma",160
"267","/usr/lib/gprolog-iso/bin/wam2ma",160
"271","/usr/games/excellent-bifurcation",160
"277","/usr/bin/acsadmin",160
"285","/usr/bin/dasdpdsu",160
"286","/usr/bin/dfu-util",160
"291","/usr/games/heroeslvl",160
"292","/usr/games/heroeslvl",160
"309","/usr/bin/hocr",160
"312","/usr/bin/hocr",160
"315","/usr/bin/hocr",160
"316","/usr/bin/hocr",160
"320","/usr/bin/hocr",160
"329","/usr/bin/qtdechunk",160
"335","/usr/bin/dpxdic",160
"343","/usr/bin/dpxdic",160
"353","/usr/bin/dpxdic",160
"355","/usr/bin/jpilot",160
"356","/usr/bin/efix",160
"360","/usr/bin/efix",160
"366","/usr/bin/retrv",160
"385","/usr/sbin/sanlock",160
"387","/usr/bin/sortmail",160
"421","/usr/bin/dcm_diff",160
"424","/usr/bin/isofilter0",160
"438","/usr/bin/gdef",160
"477","/usr/bin/stalonetray",160
"483","/usr/bin/sreformat",160
"494","/usr/bin/gribscan",160
"496","/usr/bin/extract_fastq",160
"505","/usr/bin/extract_fastq",160
"506","/usr/bin/extract_fastq",160
"509","/usr/lib/emacs/23.4/i486-linux-gnu/fakemail",160
"510","/usr/lib/emacs/23.4/i486-linux-gnu/fakemail",160
"511","/usr/lib/emacs/23.4/i486-linux-gnu/fakemail",160
"512","/usr/lib/emacs/23.4/i486-linux-gnu/fakemail",160
"515","/usr/lib/emacs/23.4/i486-linux-gnu/fakemail",160
"517","/usr/lib/emacs/23.4/i486-linux-gnu/fakemail",160
"518","/usr/lib/emacs/23.4/i486-linux-gnu/fakemail",160
"520","/usr/bin/jpilot-sync",160
"537","/usr/bin/matc",160
"538","/usr/bin/matc",160
"539","/usr/bin/matc",160
"540","/usr/bin/matc",160
"559","/usr/bin/wcat",160
"597","/usr/bin/fdtput",160
"599","/usr/bin/fdtput",160
"601","/usr/bin/fdtput",160
"606","/usr/bin/fdtput",160
"637","/usr/lib/uhd/tests/addr_test",160
"650","/usr/lib/i386-linux-gnu/mlterm/mlterm-zoom",160
"651","/usr/lib/i386-linux-gnu/mlterm/mlterm-zoom",160
"707","/usr/lib/cain/solvers/HomogeneousHistogramsAverageAps",160
"722","/usr/sbin/ubiupdatevol",160
"724","/usr/bin/vbind",160
"733","/usr/lib/gmt/bin/x_edit",160
"735","/usr/lib/gmt/bin/x_edit",160
"736","/usr/lib/gmt/bin/x_edit",160
"757","/usr/bin/bpadmin",160
"789","/usr/bin/dawgdic-find",160
"817","/usr/bin/wmnut",160
"850","/usr/bin/gpiv_s-avg",160
"875","/usr/sbin/arpspoof",160
"878","/usr/bin/garmin_gchart",160
"888","/usr/lib/filo/stats",160
"889","/usr/lib/filo/stats",160
"891","/usr/lib/filo/stats",160
"892","/usr/lib/filo/stats",160
"930","/usr/bin/grib_filter",160
"934","/usr/bin/icctrans",160
"953","/usr/bin/csdp-theta",160
"954","/usr/bin/csdp-theta",160
"958","/usr/bin/csdp-theta",160
"961","/usr/bin/nodau",160
"962","/usr/sbin/ftp-proxy",160
"967","/usr/sbin/ftp-proxy",160
"968","/usr/sbin/ftp-proxy",160
"972","/usr/sbin/ftp-proxy",160
"973","/usr/sbin/ftp-proxy",160
"976","/usr/bin/bppconsense",160
"1032","/usr/bin/ipe5toxml",160
"1057","/usr/bin/t1rawafm",160
"1111","/usr/sbin/dump-acct",160
"1112","/usr/sbin/dump-acct",160
"1123","/usr/bin/t1dotlessj",160
"1124","/usr/bin/t1dotlessj",160
"1131","/usr/bin/t1dotlessj",160
"1134","/usr/bin/t1dotlessj",160
"1137","/usr/bin/t1dotlessj",160
"1139","/usr/bin/t1dotlessj",160
"1140","/usr/bin/rdx",160
"1181","/usr/lib/libatlas-test/xasumsrch",160
"1214","/usr/bin/xcolmix",160
"1219","/usr/sbin/shield-purge",160
"1225","/usr/bin/sfmtcvt",160
"1247","/usr/sbin/webmitm",160
"1255","/usr/bin/glrad",160
"1256","/usr/bin/png2html",160
"1261","/usr/bin/png2html",160
"1264","/usr/lib/gap/pkg/guava/bin/i486-pc-linux-gnu-i486-linux-gnu-gcc/leonconv",160
"1267","/usr/bin/jack_netsource",160
"1268","/usr/bin/jack_netsource",160
"1279","/usr/bin/atisplit",160
"1280","/usr/bin/atisplit",160
"1282","/usr/bin/atisplit",160
"1283","/usr/bin/atisplit",160
"1286","/usr/bin/atisplit",160
"1287","/usr/bin/extract_seq",160
"1298","/usr/bin/extract_seq",160
"1299","/usr/bin/extract_seq",160
"1307","/usr/bin/rawtmp",160
"1310","/usr/bin/slmthread",160
"1311","/usr/bin/slmthread",160
"1312","/usr/bin/slmthread",160
"1338","/usr/sbin/jffs2reader",160
"1339","/usr/sbin/jffs2reader",160
"1367","/usr/bin/cvsps",160
"1369","/usr/bin/cvsps",160
"1390","/usr/bin/mb-applet-launcher",160
"1472","/usr/lib/uhd/tests/convert_test",160
"1476","/usr/bin/gpiv_errvec",160
"1478","/usr/bin/gpiv_errvec",160
"1489","/usr/bin/mksource",160
"1491","/usr/bin/getfits",160
"1495","/usr/bin/getfits",160
"1496","/usr/bin/getfits",160
"1499","/usr/bin/aliki",160
"1509","/usr/bin/isofilter",160
"1518","/usr/bin/writetmp",160
"1521","/usr/bin/writetmp",160
"1551","/sbin/regdbdump",160
"1570","/usr/bin/vadm",160
"1573","/usr/lib/tigr-glimmer/build-icm",160
"1583","/usr/lib/open-axiom/lib/view2D",160
"1607","/usr/bin/a56-keybld",160
"1608","/usr/bin/a56-keybld",160
"1618","/usr/bin/txt2ti3",160
"1622","/usr/bin/intel_bios_reader",160
"1652","/usr/bin/tslminfo",160
"1653","/usr/bin/tslminfo",160
"1661","/usr/bin/tslminfo",160
"1677","/usr/bin/grabc",160
"1678","/usr/bin/rbkconfig_compiler4",160
"1704","/usr/bin/search++",160
"1720","/usr/bin/tabix",160
"1721","/usr/bin/tabix",160
"1723","/usr/bin/tabix",160
"1755","/usr/lib/gprolog-iso/bin/ma2asm",160
"1758","/usr/lib/gprolog-iso/bin/ma2asm",160
"1760","/usr/lib/gprolog-iso/bin/ma2asm",160
"1761","/usr/lib/gprolog-iso/bin/ma2asm",160
"1765","/usr/lib/cain/solvers/HomogeneousHistogramsAverage",160
"1778","/usr/games/netrek-client-cow",160
"1779","/usr/games/netrek-client-cow",160
"1786","/usr/bin/hexbin",160
"1790","/usr/bin/hexbin",160
"1791","/usr/bin/hexbin",160
"1827","/usr/lib/icmake/icm-exec",160
"1838","/usr/lib/icmake/icm-exec",160
"1845","/usr/lib/icmake/icm-exec",160
"1852","/usr/bin/vde_autolink",160
"1860","/usr/bin/atp",160
"1863","/usr/bin/atp",160
"1864","/usr/bin/atp",160
"1866","/usr/bin/atp",160
"1899","/usr/bin/deepgrep",160
"1900","/usr/bin/deepgrep",160
"1903","/usr/bin/multitee",160
"1904","/usr/bin/multitee",160
"1911","/usr/bin/quantlib-benchmark",160
"1912","/usr/bin/pnscan",160
"1943","/usr/bin/reformime",160
"1944","/usr/bin/reformime",160
"1950","/usr/bin/reformime",160
"1954","/usr/bin/reformime",160
"1969","/usr/bin/ekglogs",160
"1978","/usr/bin/ekglogs",160
"1985","/usr/bin/a56",160
"1986","/usr/bin/a56",160
"1992","/usr/bin/a56",160
"1993","/usr/bin/a56",160
"1995","/usr/bin/a56",160
"1997","/usr/bin/a56",160
"1998","/usr/bin/a56",160
"2001","/usr/bin/a56",160
"2002","/usr/bin/a56",160
"2004","/usr/bin/a56",160
"2039","/usr/lib/mrtrix/bin/read_ximg",160
"2041","/usr/sbin/httppower",160
"2044","/usr/bin/hebcal",160
"2048","/usr/bin/hebcal",160
"2057","/usr/bin/gpiv_rr",160
"2069","/usr/bin/h5dump",160
"2086","/usr/bin/applycal",160
"2105","/usr/bin/rat",160
"2117","/usr/bin/rat",160
"2119","/usr/bin/math2oogl",160
"2129","/usr/lib/tiger/bin/realpath",160
"2138","/usr/bin/hyphen_show",160
"2140","/usr/bin/hyphen_show",160
"2171","/usr/bin/agedu",160
"2174","/usr/bin/agedu",160
"2176","/usr/bin/agedu",160
"2185","/usr/games/xpilot-ng-xp-mapedit",160
"2186","/usr/bin/avr-run",160
"2187","/usr/bin/avr-run",160
"2189","/usr/bin/avr-run",160
"2210","/usr/bin/ascdc",160
"2222","/usr/bin/lmove",160
"2228","/usr/bin/xview_msgfmt",160
"2233","/usr/bin/xview_msgfmt",160
"2235","/usr/bin/xview_msgfmt",160
"2236","/usr/lib/qingy/qingy-DirectFB",160
"2242","/usr/bin/ldo65",160
"2243","/usr/bin/ldo65",160
"2245","/usr/bin/ldo65",160
"2247","/usr/bin/hersheydemo",160
"2265","/usr/lib/unicon/bin/tab2dat",160
"2266","/usr/lib/unicon/bin/tab2dat",160
"2267","/usr/lib/unicon/bin/tab2dat",160
"2268","/usr/lib/unicon/bin/tab2dat",160
"2269","/usr/lib/unicon/bin/tab2dat",160
"2270","/usr/lib/unicon/bin/tab2dat",160
"2318","/usr/bin/m68hc11-gcov",160
"2330","/usr/bin/e3",160
"2352","/usr/bin/bppancestor",160
"2364","/usr/lib/tigr-glimmer/build-fixed",160
"2365","/usr/games/mmpongd",160
"2369","/usr/bin/pbesconstelm",160
"2374","/usr/lib/games/glhack/recover_glhack",160
"2396","/usr/bin/populations",160
"2397","/usr/bin/populations",160
"2400","/usr/bin/populations",160
"2402","/usr/bin/populations",160
"2404","/usr/bin/populations",160
"2405","/usr/bin/xpenguins",160
"2408","/usr/bin/xpenguins",160
"2409","/usr/bin/xpenguins",160
"2426","/usr/bin/gift-write-feature-descs",160
"2440","/usr/bin/binhex",160
"2446","/usr/bin/binhex",160
"2448","/usr/bin/binhex",160
"2453","/usr/bin/binhex",160
"2455","/usr/bin/binhex",160
"2456","/usr/bin/binhex",160
"2459","/usr/bin/binhex",160
"2515","/usr/bin/dasdcat",160
"2519","/usr/bin/dasdcat",160
"2529","/usr/lib/voxbo/bin/vbim",160
"2530","/usr/lib/voxbo/bin/vbim",160
"2553","/usr/games/backgammon",160
"2554","/usr/games/kraptor",160
"2555","/usr/bin/restorevol",160
"2557","/usr/bin/restorevol",160
"2561","/usr/bin/mytool",160
"2562","/usr/bin/mytool",160
"2566","/usr/bin/mytool",160
"2569","/usr/bin/mytool",160
"2571","/usr/lib/axiom-20120501/bin/htadd",160
"2575","/usr/lib/axiom-20120501/bin/htadd",160
"2577","/usr/bin/grfid",160
"2586","/usr/lib/wmcoincoin/wmcoincoin_player",160
"2589","/usr/bin/lv2info",160
"2590","/usr/bin/lv2info",160
"2593","/usr/bin/lv2info",160
"2596","/usr/bin/bppml",160
"2598","/usr/bin/pngchunks",160
"2632","/usr/bin/xjdxgen",160
"2633","/usr/bin/xjdxgen",160
"2637","/usr/bin/dasdls",160
"2639","/usr/bin/xjinfo",160
"2640","/usr/bin/garmin_dump",160
"2650","/usr/bin/anytoucd",160
"2655","/usr/bin/z88dk-zcpp",160
"2659","/usr/bin/z88dk-zcpp",160
"2662","/usr/bin/a68g",160
"2663","/usr/bin/a68g",160
"2667","/usr/bin/a68g",160
"2674","/usr/bin/csdp-complement",160
"2676","/usr/bin/csdp-complement",160
"2699","/usr/bin/cairo-perf-trace",160
"2704","/usr/bin/cairo-perf-trace",160
"2705","/usr/bin/cairo-perf-trace",160
"2713","/usr/sbin/raidutil",160
"2717","/usr/sbin/raidutil",160
"2719","/usr/sbin/raidutil",160
"2721","/usr/sbin/raidutil",160
"2723","/usr/sbin/raidutil",160
"2725","/usr/sbin/setkey",160
"2728","/usr/bin/xjdic_cl",160
"2730","/usr/bin/xjdic_cl",160
"2740","/usr/bin/qtinfo",160
"2742","/usr/bin/notQttest",160
"2752","/usr/sbin/dncopynodes",160
"2753","/usr/bin/xview_xgettext",160
"2772","/usr/bin/svm-scale",160
"2798","/usr/bin/catdump",160
"2799","/usr/bin/catdump",160
"2834","/usr/lib/unicon/bin/tab2cin",160
"2835","/usr/lib/unicon/bin/tab2cin",160
"2836","/usr/lib/unicon/bin/tab2cin",160
"2861","/usr/bin/mp3val",160
"2862","/usr/bin/mp3val",160
"2869","/usr/lib/uhd/tests/buffer_test",160
"2889","/usr/bin/a2crd",160
"2891","/usr/games/open-invaders",160
"2901","/usr/bin/oogl2rib",160
"2906","/usr/bin/e-PCR",160
"2910","/usr/bin/e-PCR",160
"2916","/usr/bin/mb-applet-wireless",160
"2917","/usr/bin/xmotd",160
"2919","/usr/bin/xmotd",160
"2920","/usr/bin/xmotd",160
"2987","/usr/bin/shntool",160
"3001","/usr/bin/awardeco",160
"3008","/usr/bin/dvipost",160
"3013","/usr/bin/dvipost",160
"3019","/usr/bin/dvipost",160
"3020","/usr/bin/dvipost",160
"3021","/usr/bin/dvipost",160
"3023","/usr/bin/dvipost",160
"3024","/usr/bin/dvipost",160
"3025","/usr/bin/dvipost",160
"3037","/sbin/isnsadm",160
"3041","/usr/lib/go/pkg/tool/linux_386/8a",160
"3098","/usr/bin/polygraph-pgl2eng",160
"3111","/usr/bin/gmk_sym",160
"3151","/usr/bin/getpix",160
"3153","/usr/bin/getpix",160
"3155","/usr/bin/getpix",160
"3158","/usr/games/rafkill",160
"3159","/usr/games/rafkill",160
"3160","/usr/games/rafkill",160
"3163","/usr/bin/shape",160
"3164","/usr/bin/shape",160
"3167","/usr/bin/shape",160
"3168","/usr/bin/shape",160
"3169","/usr/bin/shape",160
"3170","/usr/bin/shape",160
"3171","/usr/bin/shape",160
"3172","/usr/bin/shape",160
"3173","/usr/bin/shape",160
"3174","/usr/bin/shape",160
"3175","/usr/bin/shape",160
"3176","/usr/bin/shape",160
"3180","/usr/bin/shape",160
"3181","/usr/bin/shape",160
"3182","/usr/bin/shape",160
"3183","/usr/bin/shape",160
"3186","/usr/bin/ambdec",160
"3188","/usr/bin/hmakeindex",160
"3190","/usr/bin/hmakeindex",160
"3191","/usr/bin/hmakeindex",160
"3201","/usr/bin/rafind2",160
"3203","/usr/bin/rafind2",160
"3212","/usr/bin/z88dk-copt",160
"3213","/usr/bin/z88dk-copt",160
"3216","/usr/bin/z88dk-copt",160
"3217","/usr/bin/z88dk-copt",160
"3219","/usr/bin/z88dk-copt",160
"3221","/usr/bin/z88dk-copt",160
"3225","/usr/bin/z88dk-copt",160
"3229","/usr/bin/z88dk-copt",160
"3230","/usr/bin/z88dk-copt",160
"3233","/usr/bin/z88dk-copt",160
"3268","/usr/bin/mailsound",160
"3281","/usr/lib/gap/pkg/guava/bin/leon/compgrp",160
"3283","/usr/lib/gap/pkg/guava/bin/leon/compgrp",160
"3299","/usr/bin/tcucodec",160
"3312","/usr/bin/gpvo",160
"3323","/usr/bin/gpvo",160
"3330","/usr/bin/csdp-graphtoprob",160
"3338","/usr/bin/rpost",160
"3346","/usr/bin/cssmerge",160
"3348","/usr/bin/cssmerge",160
"3355","/usr/bin/hxunpipe",160
"3361","/usr/bin/hxunpipe",160
"3368","/usr/bin/ies2rad",160
"3371","/usr/bin/md5test",160
"3372","/usr/lib/xen-4.1/bin/xentrace_setsize",160
"3373","/usr/games/atanks",160
"3374","/usr/games/garden",160
"3387","/usr/bin/gdlpp",160
"3388","/usr/bin/gdlpp",160
"3392","/usr/games/aajm",160
"3403","/usr/lib/hunspell/hunzip",160
"3406","/usr/lib/hunspell/hunzip",160
"3431","/usr/bin/gpesyncd",160
"3439","/usr/bin/dvbtune",160
"3451","/usr/lib/kde4/libexec/kwin_opengl_test",160
"3455","/usr/bin/fld",160
"3474","/usr/bin/xine-remote",160
"3497","/usr/bin/cfdpadmin",160
"3498","/usr/bin/rifftree",160
"3517","/usr/bin/oggThumb",160
"3531","/usr/bin/usepackage",160
"3532","/usr/bin/aj-snapshot",160
"3599","/usr/games/alex4",160
"3614","/usr/bin/fdtget",160
"3624","/usr/bin/fdtget",160
"3630","/usr/bin/xjdserver",160
"3633","/usr/bin/xjdserver",160
"3634","/usr/bin/xjdserver",160
"3639","/usr/lib/cyrus/bin/sieved",160
"3645","/usr/bin/setupnash2",160
